"ID","ID_nxt","x","y","is_canal","Q","V","H","slope","Q_design_m3s","Q_model_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_season","Q_value_origin","Q_derivation_rule","Q_source_note","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","C_w","C_sd","concentration_units"
"P_00038","Source00015",0.187499999999926,6.09583333333318,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463195765054039,NA,"CFU/L"
"P_00039","Source00016",0.212499999999924,6.09583333333318,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.520384135931913,NA,"CFU/L"
"P_00040","P_00041",0.220833333333257,6.10416666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.509449843816708,NA,"CFU/L"
"P_00041","Source00017",0.220833333333257,6.10416666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.60194891982418,NA,"CFU/L"
"P_00042","Source00018",0.254166666666592,6.10416666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.586100626628504,NA,"CFU/L"
"P_00043","Source00019",0.262499999999925,6.09583333333318,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653855797539488,NA,"CFU/L"
"P_00044","P_00057",0.270833333333258,6.09583333333318,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.68712312604925,NA,"CFU/L"
"P_00045","P_00046",0.295833333333256,6.24166666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CFU/L"
"P_00046","Source00020",0.295833333333256,6.22916666666651,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"CFU/L"
"P_00047","Source00022",0.287499999999924,6.22083333333317,FALSE,1085.21997070312,0.408815250126533,9.24062565427482,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00019448070793877,NA,"CFU/L"
