"ID","Pt_type","ID_nxt","Hylak_id","x","y","Q","C_w","C_sd","WWTPremoval","is_canal","Q_model_m3s","Q_source_id","Q_reference_short","Q_reference_url","Q_regime","Q_data_period","Q_value_origin","Q_derivation_rule","dist_nxt","Q_lake_m3s","lake_throughflow_m3s","lake_transport_mode","lake_residence_time_days","pathogen_profile_id","pathogen_profile_set","pathogen_profile_label","pathogen_profile_region","pathogen_profile_country","pathogen_profile_confidence","pathogen_prevalence_rate","pathogen_excretion_rate","f_pathogen_direct","pathogen_prevalence_source","pathogen_excretion_source","pathogen_wwtp_source","pathogen_reference_url","substance","concentration_units","basin_id"
"P_00024","node","Source00008",0,0.154166666666591,6.10416666666651,1085.21997070312,0.0020587191529214,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1610.56923853503,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"Source00008","agglomeration","P_00025",0,0.168704650888129,6.10416680828989,1085.21997070312,0.00273299198979205,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1159.00660658077,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,1,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00025","node","P_00037",0,0.179166666666589,6.10416666666651,1085.21997070312,0.00272877914757697,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00026","JNCT","P_00027",0,0.22916666666659,6.1791666666665,1085.21997070312,3.31926415950526e-07,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3689.05289963918,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00027","node","P_00028",0,0.229166666666591,6.14583333333318,1085.21997070312,3.30300579854438e-07,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1304.85779603369,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00028","node","Source00009",0,0.220833333333257,6.13749999999984,1085.21997070312,3.29727412692784e-07,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,560.233521289632,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"Source00009","agglomeration","P_00029",0,0.215775763089385,6.13750001550804,1085.21997070312,7.66956673635434e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,362.861741814991,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,1,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00029","node","P_00030",0,0.212499999999924,6.13749999999984,1085.21997070312,7.66586340131313e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,922.275299464173,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00030","node","P_00031",0,0.212499999999924,6.12916666666651,1085.21997070312,7.65645878713926e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,1304.89612955042,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
"P_00031","node","Source00010",0,0.204166666666592,6.12083333333317,1085.21997070312,7.64317222384388e-05,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,503.834708907656,NA,NA,NA,NA,"ghana_ssa_giardia_screening","ghana_ssa_screening","Ghana/SSA Giardia screening profile","Ghana / Sub-Saharan Africa","GH","screening_requires_calibration",0.07,1e+09,0,"University of Ghana scoping review; screening assumption","Legacy ePiE screening value; literature review required","Legacy ePiE screening WWTP removals","https://pure.ug.edu.gh/en/publications/human-giardiasis-in-ghana-a-scoping-review-of-studies-from-2004-t/","giardia","cysts/L","volta"
